SPACE,CATEGORY,PRODUCT_CODE,CARCASS_CODE,SHUTTER_CODE,TYPE,OPENING,SOLID,GLASS,ALU,PLY,SHUTTER_ORIGIN
Kitchen_Top_Unit,Top_Glass_Double_Door,TC_GDD7_800,TC_7_800,AF_80_72/PF_80_72,Double,No,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Double_Door,TC_GDD7_900,TC_7_900,AF_90_72/PF_90_72,Double,No,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_GSD7_400,TC_7_400,SD_40_72,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_SSD7_450,TC_7_450,SD_45_72,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_SSD7_500,TC_7_500,SD_50_72,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_SSD7_550,TC_7_550,SD_55_72,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_SSD7_600,TC_7_600,SD_60_72,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Double_Door,TC_SDD7_800,TC_7_800,SD_80_72,Double,No,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Double_Door,TC_SDD7_900,TC_7_900,SD_90_72,Double,No,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Door,TC_LUD7_600,TC_LU7_600,LUSD_60_72,Liftup,TOP,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Door,TC_LUD7_700,TC_LU7_700,LUSD_70_72,Liftup,TOP,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Duble_Door (Advance),TC_LUDD7_600,TC_7_600,LUSD_60_72,Liftup,TOP,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Duble_Door (Advance),TC_LUDD7_700,TC_7_700,LUSD_70_72,Liftup,TOP,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Glass_Door,TC_LGD7_600,TC_LU7_600,LUAF_60_72/LUPF_60_72,Liftup,TOP,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Liftup_Glass_Door,TC_LGD7_700,TC_LU7_700,LUAF_70_72/LUPF_70_72,Liftup,TOP,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Liftup_Glass_Duble_Door,TC_LGDD7_600,TC_7_600,LUAF_60_72/LUPF_60_72,Liftup,TOP,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Liftup_Glass_Duble_Door,TC_LGDD7_700,TC_7_700,LUAF_70_72/LUPF_70_72,Liftup,TOP,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,TOP_DISHDRAIN_SOLID_SINGLE_DOOR,TC_DDSSD7_600,TC_DD7_600,SD_60_72,Liftup,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,TOP_DISHDRAIN_GLASS_SINGLE_DOOR,TC_DDGSD7_600,TC_DD7_600,AF_60_72/PF_60_72,Liftup,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD_400,TU_400,AF_40_19/PF_40_19,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD_450,TU_450,AF_45_19/PF_45_19,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD_500,TU_500,AF_50_19/PF_50_19,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD_550,TU_550,AF_55_19/PF_55_19,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD_600,TU_600,AF_60_19/PF_60_19,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Double_Door,TU_GDD_800,TU_800,AF_80_19/PF_80_19,Double,No,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Double_Door,TU_GDD_900,TU_900,AF_90_19/PF_90_19,Double,No,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD_400,TU_400,SD_40_19,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD_450,TU_450,SD_45_19,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD_500,TU_500,SD_50_19,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD_550,TU_550,SD_55_19,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD_600,TU_600,SD_60_19,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Double_Door,TU_SDD_800,TU_800,SD_80_19,Double,No,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Double_Door,TU_SDD_900,TU_900,SD_90_19,Double,No,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Tall Unit_Microwave_ TandameBox_single door,TU-MOT20-600,TU_MOT20_600,No,Single/Drawer,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Tall Unit_Microwave_ 2 single door,TU-MOS20-600,TU_MOS20_600,No,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD20_400,TU_20_400,AF_40_20/PF_40_20,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD20_450,TU_20_450,AF_45_20/PF_45_20,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD20_500,TU_20_500,AF_50_20/PF_50_20,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD20_550,TU_20_550,AF_55_20/PF_55_20,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Single_Door,TU_GSD20_600,TU_20_600,AF_60_20/PF_60_20,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Double_Door,TU_GDD20_800,TU_20_800,AF_80_20/PF_80_20,Double,No,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Tall Unit_Glass_Double_Door,TU_GDD20_900,TU_20_900,AF_90_20/PF_90_20,Double,No,No,Yes,Yes,Yes,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD20_400,TU_20_400,SD_40_20,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD20_450,TU_20_450,SD_45_20,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD20_500,TU_20_500,SD_50_20,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD20_550,TU_20_550,SD_55_20,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Single_Door,TU_SSD20_600,TU_20_600,SD_60_20,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Double_Door,TU_SDD20_800,TU_20_800,SD_80_20,Double,No,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Top_Solid_Double_Door,TU_SDD20_900,TU_20_900,SD_90_20,Double,No,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Tall Unit_Microwave_ TandameBox_single door,TU-MOT20-600,TU_MOT20_600,No,Single/Drawer,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Tall_Unit,Tall Unit_Microwave_ 2 single door,TU-MOS20-600,TU_MOS20_600,No,Single,LHS/RHS,Yes,No,No,No,1_1
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_8001,WH_8001,WSD_80_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_9001,WH_9001,WSD_90_20,Double,No,Yes,Yes,Yes,No,1_100
